__ROW_PATH__,Total Snf Charge Amount,Total Snf Medicare Allowed Amount,Total Snf Medicare Payment Amount,Total Snf Medicare Standard Payment Amount
,44767908996,32858643628,27118146730,27898013249
AK,29655692,9452489,7744777,6447984
AL,582704468,439042502,357658208,446172455
AR,464201937,303406052,241862048,294114617
AZ,470039490,325969967,281585415,285847159
CA,4129568330,3335140016,2865877145,2301549006
CO,456463467,327066715,276715351,284633093
CT,819730358,608017253,519366627,457228690
DC,85834021,47555666,39721406,38963603
DE,178476757,138868136,116214561,114880437
FL,3406003907,2602376222,2127736746,2366115084
GA,764659062,631484223,507750891,574540938
HI,80645002,54530108,46776120,40835709
IA,434147514,297818956,241916304,269257506
ID,142627540,101018083,82270399,92936394
IL,2741639733,1911760420,1562637767,1606218106
IN,1274289312,1029345108,822315017,890048571
KS,419047474,306439968,245837995,280808861
KY,757835744,501030786,399046377,467787049
LA,612007868,420360187,319051765,392011280
MA,1424494949,1002164628,860395325,784097548
MD,1064382995,814284745,678601133,699115567
ME,217685033,138747313,116956137,126078779
MI,1659002108,1159973225,950516460,1024423380
MN,565954720,452263538,386941034,377695860
MO,885977890,610050318,491294762,556330341
MS,537267672,359341998,276698036,338995884
MT,113272526,75508400,61214712,66913050
NC,1153981540,892664176,723427812,824941176
ND,85541801,49196234,37065586,48999284
NE,335112545,223927282,181117682,193726599
NH,241488239,178677990,148349198,146622150
NJ,2386149717,1638379121,1399039880,1275482704
NM,189393018,110223920,91906536,98084983
NV,220682510,171604315,145200439,135016829
NY,2745088971,2247049847,1899410938,1672504637
OH,2042751556,1426840097,1164581553,1297856266
OK,457896518,314140650,249237592,296002787
OR,291077563,202223598,174886270,164227561
PA,2074659546,1402391250,1149585056,1229165427
PR,2011174,881707,790387,1374385
RI,167922696,129020706,108609690,106299066
SC,600741931,444303461,358060180,406130349
SD,113464242,79844357,62471152,72278292
TN,1057551189,755496219,596194475,722771467
TX,3055203876,2206333086,1771174061,1964904739
UT,230654260,170845182,144319648,156558977
VA,1143995424,805366031,659786080,724121335
VT,95497141,75085256,61771892,62314026
WA,746797800,593387163,502856527,465252960
WI,714979053,539161677,446539061,463132064
WV,235398551,156727073,123557261,151281343
WY,62252566,41856208,33505256,34916892